"time"	"Cin"	"Cout"	
"sec"	"dimensionless"	"Molar"	
0	1	0	
.1	.9048	0	
.2	.8187	0	
.3	.7408	0	
.4	.6703	0	
.5	.6065	0	
.6	.5488	0	
.7	.4966	0	
.8	.4493	0	
.9	.4066	0	
1	.3679	0	
1.1	.3329	0	
1.2	.3012	0	
1.3	.2725	0	
1.4	.2466	6.091E-4	
1.5	.2231	.0026	
1.6	.2019	.0079	
1.7	.1827	.0108	
1.8	.1653	.0183	
1.9	.1496	.0229	
2	.1353	.0355	
2.1	.1225	.034	
2.2	.1108	.0626	
2.3	.1003	.0606	
2.4	.0907	.0654	
2.5	.0821	.1054	
2.6	.0743	.1009	
2.7	.0672	.1005	
2.8	.0608	.1434	
2.9	.055	.1575	
3	.0498	.1566	
3.1	.045	.1519	
3.2	.0408	.1875	
3.3	.0369	.2242	
3.4	.0334	.2217	
3.5	.0302	.2153	
3.6	.0273	.1981	
3.7	.0247	.2241	
3.8	.0224	.2818	
3.9	.0202	.2763	
4	.0183	.2676	
4.1	.0166	.2511	
4.2	.015	.2197	
4.3	.0136	.2088	
4.4	.0123	.2964	
4.5	.0111	.2917	
4.6	.0101	.2772	
4.7	.0091	.2706	
4.8	.0082	.2386	
4.9	.0074	.2275	
5	.0067	.1664	
5.1	.0061	.1964	
5.2	.0055	.2513	
5.3	.005	.2381	
5.4	.0045	.2272	
5.5	.0041	.2241	
5.6	.0037	.1928	
5.7	.0033	.1835	
5.8	.003	.1792	
5.9	.0027	.1213	
6	.0025	.1166	
6.1	.0022	.1358	
6.2	.002	.1607	
6.3	.0018	.1527	
6.4	.0017	.146	
6.5	.0015	.1416	
6.6	.0014	.1249	
6.7	.0012	.1169	
6.8	.0011	.1135	
6.9	.001	.1037	
7	9.119E-4	.0816	
7.1	8.251E-4	.0675	
7.2	7.466E-4	.0673	
7.3	6.755E-4	.0633	
7.4	6.113E-4	.0642	
7.5	5.531E-4	.073	
7.6	5.005E-4	.0728	
7.7	4.528E-4	.0725	
7.8	4.097E-4	.0723	
7.9	3.707E-4	.0611	
8	3.355E-4	.057	
8.1	3.035E-4	.049	
8.2	2.747E-4	.0481	
8.3	2.485E-4	.0478	
8.4	2.249E-4	.0476	
8.5	2.035E-4	.0343	
8.6	1.841E-4	.0294	
8.7	1.666E-4	.0285	
8.8	1.507E-4	.0206	
8.9	1.364E-4	.0192	
9	1.234E-4	.0191	
9.1	1.117E-4	.0228	
9.2	1.01E-4	.0289	
9.3	9.142E-5	.0285	
9.4	8.272E-5	.028	
9.5	7.485E-5	.0272	
9.6	6.773E-5	.0201	
9.7	6.128E-5	.0179	
9.8	5.545E-5	.0179	
9.9	5.017E-5	.0179	
10	4.54E-5	.0175	
10.1	4.108E-5	.0174	
10.2	3.717E-5	.0172	
10.3	3.363E-5	.0167	
10.4	3.043E-5	.0143	
10.5	2.754E-5	.0087	
10.6	2.492E-5	.007	
10.7	2.254E-5	.0056	
10.8	2.04E-5	.0056	
10.9	1.846E-5	.0056	
11	1.67E-5	.0055	
11.1	1.511E-5	.0053	
11.2	1.367E-5	.0052	
11.3	1.237E-5	.0051	
11.4	1.12E-5	.008	
11.5	1.013E-5	.0083	
11.6	9.166E-6	.0083	
11.7	8.294E-6	.0072	
11.8	7.505E-6	.0053	
11.9	6.79E-6	.0053	
12	6.144E-6	.0053	
12.1	5.56E-6	.0053	
12.2	5.03E-6	.0053	
12.3	4.552E-6	.0051	
12.4	4.119E-6	.0051	
12.5	3.727E-6	.005	
12.6	3.372E-6	.005	
12.7	3.051E-6	.0049	
12.8	2.761E-6	.0047	
12.9	2.498E-6	.0047	
13	2.26E-6	.003	
13.1	2.045E-6	.0013	
13.2	1.851E-6	.0012	
13.3	1.674E-6	.0012	
13.4	1.515E-6	.0012	
13.5	1.371E-6	.0011	
13.6	1.24E-6	.0011	
13.7	1.122E-6	.0011	
13.8	1.016E-6	.0011	
13.9	0	.001	
14	0	.001	
14.1	0	.001	
14.2	0	.001	
14.3	0	9.941E-4	
14.4	0	.002	
14.5	0	.002	
14.6	0	.0018	
14.7	0	.0014	
14.8	0	.0014	
14.9	0	.0014	
15	0	.0014	
15.1	0	.0014	
15.2	0	.0014	
15.3	0	.0014	
15.4	0	.0014	
15.5	0	.0014	
15.6	0	.0014	
15.7	0	.0013	
